decade,song,artist,appearances,avg_rank,peak,score,link
1980s,Bette Davis Eyes,Kim Carnes,26,24.84615385,1,1980,https://www.youtube.com/watch?v=AlZEdyo6uwY&list=RDAlZEdyo6uwY&start_radio=1
1980s,Eye Of The Tiger,Survivor,25,21.84,1,1979,https://www.youtube.com/watch?v=XxxfQ7-aMrE&list=RDXxxfQ7-aMrE&start_radio=1
1980s,Endless Love,Diana Ross & Lionel Richie,27,27.81481481,1,1976,https://www.youtube.com/watch?v=fAJlqNJYmIs&list=RDfAJlqNJYmIs&start_radio=1
1980s,Total Eclipse Of The Heart,Bonnie Tyler,29,33,1,1972,https://www.youtube.com/watch?v=KqBZAxCfWHA&list=RDKqBZAxCfWHA&start_radio=1
1980s,Abracadabra,The Steve Miller Band,25,22.52,1,1962,https://www.youtube.com/watch?v=7QyoRzZrF00&list=RD7QyoRzZrF00&start_radio=1
1980s,Upside Down,Diana Ross,29,33.37931034,1,1961,https://www.youtube.com/watch?v=hDHW5wXBvLw&list=RDhDHW5wXBvLw&start_radio=1
1980s,Centerfold,The J. Geils Band,25,22.76,1,1956,https://www.youtube.com/watch?v=_XsUVTlyIE4&list=RD_XsUVTlyIE4&start_radio=1
1990s,How Do I Live,LeAnn Rimes,69,19.62318841,2,5615,https://www.youtube.com/watch?v=1Olo8gzgpC4&list=RD1Olo8gzgpC4&start_radio=1
1990s,Foolish Games/You Were Meant For Me,Jewel,65,16.4,2,5499,https://www.youtube.com/watch?v=3RlDaqtFHtA&list=RD3RlDaqtFHtA&start_radio=1
1990s,Truly Madly Deeply,Savage Garden,52,13.53846154,1,4548,https://www.youtube.com/watch?v=jBVifG4_Ruk&list=RDjBVifG4_Ruk&start_radio=1
1990s,Too Close,Next,53,15.75471698,1,4518,https://www.youtube.com/watch?v=7YxP0NZ6RjY&list=RD7YxP0NZ6RjY&start_radio=1
1990s,Macarena (Bayside Boys Mix),Los Del Rio,60,26.16666667,1,4490,https://www.youtube.com/watch?v=6yM4If9OfLg&list=RD6yM4If9OfLg&start_radio=1
1990s,I Don't Want To Wait,Paula Cole,56,28.39285714,11,4066,https://www.youtube.com/watch?v=SEhI7Sorp6g&list=RDSEhI7Sorp6g&start_radio=1
1990s,Whoomp! (There It Is),Tag Team,45,14.77777778,2,3880,https://www.youtube.com/watch?v=L6mNa_QZVHg&list=RDL6mNa_QZVHg&start_radio=1
1990s,You Make Me Wanna...,Usher,47,19.06382979,2,3851,https://www.youtube.com/watch?v=1Ujajo3Uzuc&list=RD1Ujajo3Uzuc&start_radio=1
1990s,Nobody Knows,The Tony Rich Project,47,20.57446809,2,3780,https://www.youtube.com/watch?v=Pf0BA5I-A9I&list=RDPf0BA5I-A9I&start_radio=1
1990s,Barely Breathing,Duncan Sheik,55,32.58181818,16,3763,https://www.youtube.com/watch?v=eqHJaWGBX4I&list=RDeqHJaWGBX4I&start_radio=1
1990s,Missing,Everything But The Girl,55,32.94545455,2,3743,https://www.youtube.com/watch?v=YLLLJjYNyzM&list=RDYLLLJjYNyzM&start_radio=1
1990s,Another Night,Real McCoy,45,18.35555556,3,3719,https://www.youtube.com/watch?v=OqYG87oxlGo&list=RDOqYG87oxlGo&start_radio=1
1990s,You're Still The One,Shania Twain,42,12.57142857,2,3714,https://www.youtube.com/watch?v=J6cNvjOn4gM&list=RDJ6cNvjOn4gM&start_radio=1
1990s,How's It Going To Be,Third Eye Blind,52,30.09615385,9,3687,https://www.youtube.com/watch?v=ACRMTEzdIrU&list=RDACRMTEzdIrU&start_radio=1
1990s,Un-Break My Heart,Toni Braxton,42,14.16666667,1,3647,https://www.youtube.com/watch?v=Mx_F2AwMwUo&list=RDMx_F2AwMwUo&start_radio=1
1990s,Run-Around,Blues Traveler,49,28.12244898,8,3571,https://www.youtube.com/watch?v=Eti4Xlc61qQ&list=RDEti4Xlc61qQ&start_radio=1
1990s,This Kiss,Faith Hill,48,27.79166667,7,3514,https://www.youtube.com/watch?v=71BVeBY1Ob0&list=RD71BVeBY1Ob0&start_radio=1
1990s,Together Again,Janet,46,24.86956522,1,3502,https://www.youtube.com/watch?v=5CHEqJgf7dw&list=RD5CHEqJgf7dw&start_radio=1
1990s,Quit Playing Games (With My Heart),Backstreet Boys,43,19.79069767,2,3492,https://www.youtube.com/watch?v=18UD-R0yly0&list=RD18UD-R0yly0&start_radio=1
1990s,Semi-Charmed Life,Third Eye Blind,43,20.65116279,4,3455,https://www.youtube.com/watch?v=M-9rOkv8hzQ&list=RDM-9rOkv8hzQ&start_radio=1
2000s,I'm Yours,Jason Mraz,76,29.51315789,6,5433,https://www.youtube.com/watch?v=hxTopOuj01k&list=RDhxTopOuj01k&start_radio=1
