date,tempo,loudness,key,mode,count
1989-01-07,155.843,-2.689,7.0,1.0,1
1989-01-14,155.843,-2.689,7.0,1.0,1
1990-06-30,70.876,-4.82,5.0,1.0,1
1989-01-21,155.843,-2.689,7.0,1.0,1
1989-02-04,155.843,-2.689,7.0,1.0,1
1989-02-11,155.843,-2.689,7.0,1.0,1
1989-02-18,155.843,-2.689,7.0,1.0,1
1989-02-25,155.843,-2.689,7.0,1.0,1
1989-03-04,155.843,-2.689,7.0,1.0,1
1989-03-11,155.843,-2.689,7.0,1.0,1
1989-03-18,155.843,-2.689,7.0,1.0,1
1989-04-08,122.838,-5.454,6.0,1.0,1
1989-04-15,122.838,-5.454,6.0,1.0,1
1989-04-22,122.838,-5.454,6.0,1.0,1
1989-04-29,122.838,-5.454,6.0,1.0,1
1989-05-06,122.838,-5.454,6.0,1.0,1
1989-05-13,122.838,-5.454,6.0,1.0,1
1989-01-28,155.843,-2.689,7.0,1.0,1
1975-01-25,122.832,-13.895,9.0,1.0,1
1990-07-07,70.876,-4.82,5.0,1.0,1
1990-12-08,177.152,-4.65,4.0,0.0,1
1993-04-24,101.66,-5.746,2.0,1.0,1
1993-08-28,105.804,-3.947,9.0,1.0,1
1994-05-14,94.705,-9.808,3.0,1.0,1
1997-02-15,94.234,-6.504,4.0,0.0,1
1997-02-22,94.234,-6.504,4.0,0.0,1
1997-03-01,94.234,-6.504,4.0,0.0,1
1997-03-08,94.234,-6.504,4.0,0.0,1
1997-03-15,94.234,-6.504,4.0,0.0,1
1997-03-22,94.234,-6.504,4.0,0.0,1
1997-03-29,94.234,-6.504,4.0,0.0,1
1997-04-05,94.234,-6.504,4.0,0.0,1
1997-04-12,94.234,-6.504,4.0,0.0,1
1997-04-19,94.234,-6.504,4.0,0.0,1
1997-04-26,94.234,-6.504,4.0,0.0,1
1997-05-03,94.234,-6.504,4.0,0.0,1
1997-05-10,94.234,-6.504,4.0,0.0,1
1997-05-17,94.234,-6.504,4.0,0.0,1
1997-05-24,94.234,-6.504,4.0,0.0,1
1997-05-31,94.234,-6.504,4.0,0.0,1
1997-07-12,109.154,-12.806,1.0,1.0,1
1997-07-19,109.154,-12.806,1.0,1.0,1
1997-07-26,109.154,-12.806,1.0,1.0,1
1997-08-02,109.154,-12.806,1.0,1.0,1
1997-08-09,109.154,-12.806,1.0,1.0,1
1997-08-16,109.154,-12.806,1.0,1.0,1
1997-08-23,109.154,-12.806,1.0,1.0,1
1997-08-30,109.154,-12.806,1.0,1.0,1
1993-04-17,101.66,-5.746,2.0,1.0,1
1992-12-19,61.971,-8.095,10.0,0.0,1
1992-12-12,61.971,-8.095,10.0,0.0,1
1992-11-07,61.971,-8.095,10.0,0.0,1
1990-12-15,177.152,-4.65,4.0,0.0,1
1990-12-22,177.152,-4.65,4.0,0.0,1
1990-12-29,177.152,-4.65,4.0,0.0,1
1991-01-05,177.152,-4.65,4.0,0.0,1
1991-01-12,177.152,-4.65,4.0,0.0,1
1991-01-19,111.755,-9.308,0.0,0.0,1
1991-01-26,111.755,-9.308,0.0,0.0,1
1991-02-02,111.755,-9.308,0.0,0.0,1
1991-02-09,111.755,-9.308,0.0,0.0,1
1991-02-16,111.755,-9.308,0.0,0.0,1
1991-02-23,111.755,-9.308,0.0,0.0,1
1991-03-02,111.755,-9.308,0.0,0.0,1
1991-08-17,112.258,-7.943,9.0,0.0,1
1990-09-01,127.844,-8.183,10.0,1.0,1
1991-11-30,114.995,-9.728,7.0,1.0,1
1991-12-14,114.995,-9.728,7.0,1.0,1
1991-12-21,114.995,-9.728,7.0,1.0,1
1991-12-28,114.995,-9.728,7.0,1.0,1
1992-01-04,114.995,-9.728,7.0,1.0,1
1992-03-28,117.988,-7.762,10.0,0.0,1
1992-04-04,117.988,-7.762,10.0,0.0,1
1992-06-06,102.829,-10.086,2.0,1.0,1
1992-06-13,102.829,-10.086,2.0,1.0,1
1992-06-20,102.829,-10.086,2.0,1.0,1
1992-09-19,101.779,-10.235,1.0,0.0,1
1992-09-26,101.779,-10.235,1.0,0.0,1
1992-10-03,101.779,-10.235,1.0,0.0,1
1992-10-31,61.971,-8.095,10.0,0.0,1
1991-12-07,114.995,-9.728,7.0,1.0,1
1975-01-18,122.832,-13.895,9.0,1.0,1
1989-08-26,128.137,-11.881,7.0,1.0,1
1974-04-20,170.987,-12.575,2.0,1.0,1
1965-12-11,124.369,-9.155,11.0,0.0,1
1965-12-18,124.369,-9.155,11.0,0.0,1
1965-12-25,124.369,-9.155,11.0,0.0,1
1966-02-19,112.884,-13.261,0.0,1.0,1
1966-02-26,112.884,-13.261,0.0,1.0,1
1966-03-05,112.884,-13.261,0.0,1.0,1
1966-03-12,112.884,-13.261,0.0,1.0,1
1966-03-19,112.884,-13.261,0.0,1.0,1
1966-03-26,112.884,-13.261,0.0,1.0,1
1966-04-02,112.884,-13.261,0.0,1.0,1
1966-06-04,122.152,-6.953,4.0,0.0,1
1966-06-11,122.152,-6.953,4.0,0.0,1
1966-06-18,122.152,-6.953,4.0,0.0,1
1966-06-25,122.152,-6.953,4.0,0.0,1
1966-07-02,122.152,-6.953,4.0,0.0,1
1966-07-09,122.152,-6.953,4.0,0.0,1
1966-07-30,124.521,-10.935,0.0,1.0,1
1966-08-06,124.521,-10.935,0.0,1.0,1
1966-08-13,124.521,-10.935,0.0,1.0,1
1965-12-04,124.369,-9.155,11.0,0.0,1
1965-11-27,124.369,-9.155,11.0,0.0,1
1965-11-20,124.369,-9.155,11.0,0.0,1
1965-11-13,124.369,-9.155,11.0,0.0,1
1964-11-21,107.455,-7.343,4.0,1.0,1
1964-11-28,107.455,-7.343,4.0,1.0,1
1964-12-05,107.455,-7.343,4.0,1.0,1
1964-12-12,107.455,-7.343,4.0,1.0,1
1964-12-19,107.455,-7.343,4.0,1.0,1
1965-01-16,131.01,-10.623,2.0,1.0,1
1965-01-23,131.01,-10.623,2.0,1.0,1
1965-01-30,131.01,-10.623,2.0,1.0,1
1965-03-20,119.712,-9.379,6.0,1.0,1
1966-08-20,124.521,-10.935,0.0,1.0,1
